'海口国家高新技术产业开发区条例',海口市人民代表大会常务委员会,2013-01-16,现行有效,地方性法规及文件
'海口市房地产业协会关于转发市住房和城乡建设局《关于进一步加强商品房预售管理的通知》的通知',海口市房地产业协会,2010-01-26,现行有效,行业规定
'万宁市人民政府办公室关于印发2018年万宁市农村低保对象特困人员教育医疗住房保障和产业扶持实施方案的通知',万宁市人民政府办公室,2018-03-21,已失效,地方政府规章及文件
'万宁市人民政府办公室关于印发《万宁市兴隆咖啡产业发展实施方案(2018-2020年)》的通知',万宁市人民政府办公室,2018-02-25,现行有效,地方政府规章及文件
'文昌市人民政府办公室关于印发文昌市农村低保对象发展特色产业扶持实施方案的通知',文昌市人民政府办公室,2018-01-19,现行有效,地方政府规章及文件
'文昌市人民政府办公室关于印发文昌市农村低保对象特困人员教育医疗住房保障和产业扶持实施方案的通知',文昌市人民政府办公室,2017-10-17,现行有效,地方政府规章及文件
'文昌市人民政府办公室关于印发文昌市发展特色产业促进精准脱贫实施方案的通知',文昌市人民政府办公室,2017-07-24,现行有效,地方政府规章及文件
'文昌市人民政府办公室关于印发《文昌市2017年特色产业小镇建设工作方案》的通知',文昌市人民政府办公室,2017-04-10,现行有效,地方政府规章及文件
'万宁市人民政府办公室关于印发万宁市促进医疗健康产业发展实施方案的通知',万宁市人民政府办公室,2017-03-24,现行有效,地方政府规章及文件
'文昌市人民政府办公室关于印发《文昌市文昌鸡产业发展规划(2016年—2025年)》的通知',文昌市人民政府办公室,2016-11-03,现行有效,地方政府规章及文件
'五指山市人民政府关于印发《五指山市“十三五”产业精准扶贫规划(2016-2020年)》的通知',五指山市人民政府,2016-09-01,现行有效,地方政府规章及文件
'关于印发五指山市2016年发展忧遁草产业实施方案的通知',五指山市人民政府办公室,2016-08-08,现行有效,地方政府规章及文件
'五指山市人民政府办公室关于印发五指山市2016年特色产业项目实施方案的通知',五指山市人民政府办公室,2016-05-23,已失效,地方政府规章及文件
'五指山市人民政府关于修订《五指山市旅游产业发展专项资金管理办法》的通知',五指山市人民政府,2015-12-23,现行有效,地方政府规章及文件
'海口市人民政府关于废止《海口市扶持医药产业发展若干规定》的决定',海口市人民政府,2011-12-25,现行有效,地方政府规章及文件
'万宁市人民政府办公室关于印发万宁市工业和科技信息产业局主要职责内设机构和人员编制规定的通知',万宁市人民政府办公室,2010-03-31,现行有效,地方政府规章及文件
'万宁市工业和科技信息产业局关于印发万宁市2010年度申报科学技术进步奖项目实施意见的通知',万宁市工业和科技信息产业局,2010-03-12,现行有效,地方政府规章及文件
'万宁市工业和科技信息产业局关于印发万宁市2010年度镇科技进步考核实施方案的通知',万宁市工业和科技信息产业局,2010-03-11,现行有效,地方政府规章及文件
'海口市人民政府关于修改《海口市扶持高新技术产业发展若干规定》的决定',海口市人民政府,2009-11-19,现行有效,地方政府规章及文件
'海口市扶持高新技术产业发展若干规定',海口市人民政府,2009-11-19,现行有效,地方政府规章及文件
'三亚市人民政府办公室转发市旅游产业发展局等单位制定的《关于促进经济平稳较快发展有关实施细则》的通知',三亚市人民政府办公室,2009-08-13,现行有效,地方政府规章及文件
'万宁市科学技术与信息产业局关于印发万宁市咖啡高产栽培技术示范推广项目实施方案的通知',万宁市科学技术与信息产业局,2009-05-05,现行有效,地方政府规章及文件
'万宁市科学技术与信息产业局关于印发我局深入学习实践科学发展观活动实施方案的通知',万宁市科学技术与信息产业局,2009-03-22,已失效,地方政府规章及文件
'万宁市科学技术与信息产业局关于印发万宁市2009年度镇科技进步考核实施方案的通知',万宁市科学技术与信息产业局,2009-03-03,现行有效,地方政府规章及文件
'关于促进产业发展的指导意见的通知',海口市人民政府办公室,2008-12-30,现行有效,地方政府规章及文件
'海口市扶持医药产业发展若干规定',海口市人民政府,2008-12-29,已失效,地方政府规章及文件
'三亚市人民政府办公室关于印发三亚市创建旅游刷卡无障碍城市促进银行卡产业发展指导意见的通知',三亚市人民政府办公室,2008-09-02,现行有效,地方政府规章及文件
'三亚市人民政府关于印发《三亚市加快兰花产业发展扶持办法》的通知',三亚市人民政府,2008-08-11,现行有效,地方政府规章及文件
'海口市扶持高新技术产业发展若干规定实施细则',海口市人民政府,2008-02-13,现行有效,地方政府规章及文件
'关于印发海口市产业布局及政府投资决策支持系统开发方案的通知',海口市人民政府办公厅,2008-01-05,现行有效,地方政府规章及文件
'三亚市人民政府办公室关于印发三亚市2007年推进兰花产业发展实施方案的通知',三亚市人民政府办公室,2007-05-08,现行有效,地方政府规章及文件
'海口市人民政府关于印发本级财政支持农业产业贷款贴息资金管理暂行办法的通知',海口市人民政府,2007-01-10,已失效,地方政府规章及文件
'海口市扶持高新技术产业发展若干规定',海口市人民政府,2006-05-13,已被修正,地方政府规章及文件
'中共临高县委员会、临高县人民政府印发《关于深化林权制度改革发展高效浆纸林产业的若干意见》的通知',中共临高县委员会;临高县人民政府,2006-01-27,现行有效,地方政府规章及文件
